date,equity,held
2022-06-17,100000.0,0
2022-06-21,100000.0,0
2022-06-22,100000.0,0
2022-06-23,100000.0,0
2022-06-24,100000.0,0
2022-06-27,100000.0,0
2022-06-28,100000.0,0
2022-06-29,100000.0,0
2022-06-30,100000.0,0
2022-07-01,100000.0,0
2022-07-05,100000.0,0
2022-07-06,100000.0,0
2022-07-07,100000.0,0
2022-07-08,100000.0,0
2022-07-11,100000.0,0
2022-07-12,100000.0,0
2022-07-13,100000.0,0
2022-07-14,100000.0,0
2022-07-15,100000.0,0
2022-07-18,100000.0,0
2022-07-19,100000.0,0
2022-07-20,100000.0,0
2022-07-21,100000.0,0
2022-07-22,100000.0,0
2022-07-25,100000.0,0
2022-07-26,100000.0,0
2022-07-27,100000.0,0
2022-07-28,100000.0,0
2022-07-29,100000.0,0
2022-08-01,100000.0,0
2022-08-02,100000.0,0
2022-08-03,100000.0,0
2022-08-04,100000.0,0
2022-08-05,100000.0,0
2022-08-08,100000.0,0
2022-08-09,100000.0,0
2022-08-10,100000.0,0
2022-08-11,100000.0,0
2022-08-12,100000.0,0
2022-08-15,100000.0,0
2022-08-16,100000.0,0
2022-08-17,100000.0,0
2022-08-18,100000.0,0
2022-08-19,100000.0,0
2022-08-22,100000.0,0
2022-08-23,100000.0,0
2022-08-24,100000.0,0
2022-08-25,100000.0,0
2022-08-26,100000.0,0
2022-08-29,100000.0,0
2022-08-30,100000.0,0
2022-08-31,100000.0,0
2022-09-01,100000.0,0
2022-09-02,100000.0,0
2022-09-06,100000.0,0
2022-09-07,100000.0,0
2022-09-08,100000.0,0
2022-09-09,100000.0,0
2022-09-12,100000.0,0
2022-09-13,100000.0,0
2022-09-14,100000.0,0
2022-09-15,100000.0,0
2022-09-16,100000.0,0
2022-09-19,100000.0,0
2022-09-20,100000.0,0
2022-09-21,100000.0,0
2022-09-22,100000.0,0
2022-09-23,100000.0,0
2022-09-26,100000.0,0
2022-09-27,100000.0,0
2022-09-28,100000.0,0
2022-09-29,100000.0,0
2022-09-30,100000.0,0
2022-10-03,100000.0,0
2022-10-04,100000.0,0
2022-10-05,100000.0,0
2022-10-06,100000.0,0
2022-10-07,100000.0,0
2022-10-10,100000.0,0
2022-10-11,100000.0,0
2022-10-12,100000.0,0
2022-10-13,100000.0,0
2022-10-14,100000.0,0
2022-10-17,100000.0,0
2022-10-18,100000.0,0
2022-10-19,100000.0,0
2022-10-20,100000.0,0
2022-10-21,100000.0,0
2022-10-24,100000.0,0
2022-10-25,100000.0,0
2022-10-26,100000.0,0
2022-10-27,100000.0,0
2022-10-28,100000.0,0
2022-10-31,100000.0,0
2022-11-01,100000.0,0
2022-11-02,100000.0,0
2022-11-03,100000.0,0
2022-11-04,100000.0,0
2022-11-07,100000.0,0
2022-11-08,100000.0,0
2022-11-09,100000.0,0
2022-11-10,100000.0,0
2022-11-11,100000.0,0
2022-11-14,100000.0,0
2022-11-15,100000.0,0
2022-11-16,100000.0,0
2022-11-17,100000.0,0
2022-11-18,100000.0,0
2022-11-21,100000.0,0
2022-11-22,100000.0,0
2022-11-23,100000.0,0
2022-11-25,100000.0,0
2022-11-28,100000.0,0
2022-11-29,100000.0,0
2022-11-30,100000.0,0
2022-12-01,100000.0,0
2022-12-02,100000.0,0
2022-12-05,100000.0,0
2022-12-06,100000.0,0
2022-12-07,100000.0,0
2022-12-08,100000.0,0
2022-12-09,100000.0,0
2022-12-12,100000.0,0
2022-12-13,100000.0,0
2022-12-14,100000.0,0
2022-12-15,100000.0,0
2022-12-16,100000.0,0
2022-12-19,100000.0,0
2022-12-20,100000.0,0
2022-12-21,100000.0,0
2022-12-22,100000.0,0
2022-12-23,100000.0,0
2022-12-27,100000.0,0
2022-12-28,100000.0,0
2022-12-29,100000.0,0
2022-12-30,100000.0,0
2023-01-03,100000.0,0
2023-01-04,100000.0,0
2023-01-05,100000.0,0
2023-01-06,100000.0,0
2023-01-09,100000.0,0
2023-01-10,100000.0,0
2023-01-11,100000.0,0
2023-01-12,100000.0,0
2023-01-13,100000.0,0
2023-01-17,100000.0,0
2023-01-18,100000.0,0
2023-01-19,100000.0,0
2023-01-20,100000.0,0
2023-01-23,100000.0,0
2023-01-24,100000.0,0
2023-01-25,100000.0,0
2023-01-26,100000.0,0
2023-01-27,100000.0,0
2023-01-30,100000.0,0
2023-01-31,100000.0,0
2023-02-01,100000.0,0
2023-02-02,100000.0,0
2023-02-03,100000.0,0
2023-02-06,100000.0,0
2023-02-07,100000.0,0
2023-02-08,100000.0,0
2023-02-09,100000.0,0
2023-02-10,100000.0,0
2023-02-13,100000.0,0
2023-02-14,100000.0,0
2023-02-15,100000.0,0
2023-02-16,100000.0,0
2023-02-17,100000.0,0
2023-02-21,100000.0,0
2023-02-22,100000.0,0
2023-02-23,100000.0,0
2023-02-24,100000.0,0
2023-02-27,100000.0,0
2023-02-28,100000.0,0
2023-03-01,100000.0,0
2023-03-02,100000.0,0
2023-03-03,100000.0,0
2023-03-06,100000.0,0
2023-03-07,100000.0,0
2023-03-08,100000.0,0
2023-03-09,100000.0,0
2023-03-10,100000.0,0
2023-03-13,100000.0,0
2023-03-14,100000.0,0
2023-03-15,100000.0,0
2023-03-16,100000.0,0
2023-03-17,100000.0,0
2023-03-20,100000.0,0
2023-03-21,100000.0,0
2023-03-22,100000.0,0
2023-03-23,100000.0,0
2023-03-24,100000.0,0
2023-03-27,100000.0,0
2023-03-28,100000.0,0
2023-03-29,100000.0,0
2023-03-30,100000.0,0
2023-03-31,100000.0,0
2023-04-03,100000.0,0
2023-04-04,100000.0,0
2023-04-05,96782.22389159359,1
2023-04-06,98836.26056026481,1
2023-04-10,98476.11850205436,1
2023-04-11,96638.60010485233,1
